Algorithm,Method,Silhouette,Calinski-Harabasz,Davies-Bouldin
Hierarchical,No Processing,0.5066666666666667,520.3333333333334,0.7600000000000001
Hierarchical,Normalization,0.4266666666666667,307.3333333333333,0.8366666666666666
Hierarchical,PCA,0.5633333333333334,676.3333333333334,0.62
Hierarchical,T+N,0.41,346.3333333333333,0.89
Hierarchical,T+N+PCA,0.48333333333333334,475.6666666666667,0.7266666666666666
Hierarchical,Transform,0.46,693.6666666666666,0.7833333333333333
KMeans,No Processing,0.5133333333333333,529.0,0.7466666666666667
KMeans,Normalization,0.4466666666666666,309.3333333333333,0.8966666666666666
KMeans,PCA,0.5566666666666666,685.0,0.6433333333333334
KMeans,T+N,0.41333333333333333,304.3333333333333,0.9133333333333334
KMeans,T+N+PCA,0.47333333333333333,495.3333333333333,0.7366666666666667
KMeans,Transform,0.4266666666666667,550.6666666666666,1.0066666666666666
MeanShift,No Processing,0.69,510.0,0.39
MeanShift,Normalization,0.63,354.0,0.49
MeanShift,PCA,0.71,566.0,0.36
MeanShift,T+N,0.67,458.0,0.45
MeanShift,T+N+PCA,0.7,535.0,0.4
MeanShift,Transform,0.75,821.0,0.32
